"target","n_celltypes","top_celltypes","top_stages","max_score","mean_score","selectivity","stage_pref","region","drugs","functional_category","target_type","max_phase"
"HS3ST5",5,"Sncg, Pax6, Lamp5, L6b, Oligo","Early/Late",6.76133209100882e-09,4.81691304906871e-09,"Não seletivo","Both stages","DLPFC",NA,NA,NA,NA
"HSD11B1",1,"VLMC","Late",4.66080756073312e-09,4.66080756073312e-09,"Seletivo","Late only","DLPFC","Emestedastat","antagonist-like","Inhibitor",2
"HTR2C",1,"L5_6_NP","Early",4.37804885641711e-09,4.37804885641711e-09,"Seletivo","Early only","DLPFC","Trazodone; LY03017","antagonist-like","Antagonist",1
"INPP5D",1,"Micro-PVM","Early",4.78781116470079e-09,4.78781116470079e-09,"Seletivo","Early only","DLPFC",NA,NA,NA,NA
"JAK1",1,"VLMC","Early",5.34436090097759e-09,5.34436090097759e-09,"Seletivo","Early only","DLPFC","Baricitinib","antagonist-like","Inhibitor",2
"JAK2",1,"Sst","Early",4.03748283839379e-09,4.03748283839379e-09,"Seletivo","Early only","DLPFC","Baricitinib","antagonist-like","Inhibitor",2
"JAZF1",3,"Sst, L5_ET, Pax6","Early/Late",6.22891322693885e-09,4.61553413919598e-09,"Não seletivo","Both stages","DLPFC",NA,NA,NA,NA
"KIT",2,"Lamp5, L5_6_NP","Early/Late",9.80789004121832e-09,6.18664394472806e-09,"Seletivo","Both stages","DLPFC","Masitinib; Nilotinib; Dasatinib + Quercetin","antagonist-like","Inhibitor",2
"MAF",2,"Sst, Lamp5_Lhx6","Early/Late",4.02400146488271e-09,3.9714219783529e-09,"Seletivo","Both stages","DLPFC",NA,NA,NA,NA
"MAPT",3,"L2_3_IT, Oligo, L6_IT_Car3","Early/Late",5.23739055916486e-09,4.47185277257442e-09,"Não seletivo","Both stages","DLPFC","Buntanetap; Etalanetug + Lecanemab; AADvac1; AADvac1 + AAmAb; ARO-MAPT; BEY2153; BIIB080; BMS-986446; Etalanetug + Lecanemab (Ph2); JNJ-64042056; MK-2214; Posdinemab; VY7523; ADEL-Y01; ALN-5288; AS-S603; AV-1980R; BIIB080 (Ph1); DUVAX; NIO752; OLX-07010","antagonist-like","Translation Inhibitor; Monoclonal Antibody; Vaccine; RNAi (Silencer); Inhibitor; ASO (Silencer); Aggregation Inhibitor",1
"MGLL",3,"Sncg, OPC, Lamp5_Lhx6","Early",4.89421839769165e-09,4.5226495922802e-09,"Não seletivo","Early only","DLPFC","BMS-986368","antagonist-like","Inhibitor",2
"NR3C1",2,"Pax6, Vip","Early",4.34918231456162e-09,4.21038469164119e-09,"Seletivo","Early only","DLPFC","CORT108297","antagonist-like","Antagonist",2
"PDE5A",10,"L6_CT, L4_IT, L6_IT, L6_IT_Car3, L5_6_NP, Lamp5_Lhx6, L5_IT, L2_3_IT, L6b, Pvalb","Early/Late",1.46780147580221e-08,6.9296965005681e-09,"Não seletivo","Both stages","DLPFC","AR1001; Tadalafil","antagonist-like","Inhibitor",2
"PLCG2",7,"L4_IT, Endo, Sncg, L5_ET, Micro-PVM, Pax6, Oligo","Early/Late",1.88412922627826e-08,7.98619994422393e-09,"Não seletivo","Both stages","DLPFC",NA,NA,NA,NA
"PRKD3",1,"L6_IT_Car3","Early",3.84062667391738e-09,3.84062667391738e-09,"Seletivo","Early only","DLPFC",NA,NA,NA,NA
"RASGEF1C",1,"L4_IT","Late",4.36778490077787e-09,4.36778490077787e-09,"Seletivo","Late only","DLPFC",NA,NA,NA,NA
"ROCK1",1,"Pax6","Early",4.01686837215192e-09,4.01686837215192e-09,"Seletivo","Early only","DLPFC","Fasudil","antagonist-like","Inhibitor",2
"ROCK2",2,"Sncg, L2_3_IT","Early",4.11220955017307e-09,4.08077216904291e-09,"Seletivo","Early only","DLPFC","Fasudil","antagonist-like","Inhibitor",2
"SEPTIN7",1,"Oligo","Early/Late",8.94679302827422e-09,7.10905052935436e-09,"Seletivo","Both stages","DLPFC","REM0045392","agonist-like","Modulator",1
"SLC24A4",2,"Sst, Astro","Early/Late",9.28847476738558e-09,6.27241689958527e-09,"Seletivo","Both stages","DLPFC",NA,NA,NA,NA
"SORL1",3,"Chandelier, L5_IT, Micro-PVM","Early/Late",5.83046412051087e-09,4.58914460554011e-09,"Não seletivo","Both stages","DLPFC",NA,NA,NA,NA
"SORT1",1,"Oligo","Late",6.03137203287171e-09,6.03137203287171e-09,"Seletivo","Late only","DLPFC","AL101","antagonist-like","Monoclonal Antibody",2
